gone, Past participle of go
good, Morally excellent or virtuous.
grab, To seize or clutch suddenly.
gray, A color between black and white.
grip, To hold firmly or tightly.
grow, To increase in size or develop.
grub, A larva or insect larval stage.
gulp, To swallow hastily or in large quantities.
gush, To flow out suddenly and forcefully.
hail, Frozen raindrops that fall in showers.
hair, Fine threads growing from the skin.
half, One of two equal parts of a whole.
hall, A large room or building for public events.
hand, At the end of the human arm.
hang, To suspend from above.
hard, Resistant to pressure or easily broken.
harm, Physical or mental damage.
hash, Chopped or minced food.
haze, Fine mist or smoke in the air.
heal, To make healthy or whole again.
heap, A pile or mass of things.
heel, The back part of the foot.
held, Past tense of hold
helm, A steering wheel or tiller.
help, Assistance or support.
herb, A plant used for culinary or medicinal purposes.
herd, A group of animals.
hero, A person admired for courage or noble qualities.
hide, To conceal or cover.
high, Elevated or situated above the ground.
hike, A trek up a mountain.
hill, A raised area of land.
hint, A subtle suggestion or indication.
hire, To employ.
hiss, The sound of snakes and cats.
hive, A home for bees.
hold, To grasp or contain.
hole, A hollow space or opening.
holy, Sacred or associated with divinity.
home, Where the heart is.
hood, A covering for the head and neck.
hoof, The foot of a horse.
hook, A curved or bent device for catching or holding.
hoop, A circular band or ring.
hose, A flexible tube for liquids.
host, A person who receives or entertains guests.
hour, A unit of time equal to 60 minutes.
howl, A sound a wolf makes.
hush, To silence or make quiet.
husk, The outer shell or covering of a seed or fruit.
icon, A symbol or representation.
idea, A thought or concept.
idle, Not active or in use.
inch, A unit of measurement. A kind of worm.
iron, A strong metal. Element Fe.
itch, An irritation you want to scratch.
jade, A green mineral often used in jewelry.
jail, A place of confinement for prisoners.
jars, Containers for holding liquids.
join, To connect or unite.
joke, A form of humor or jest.
just, Fair or morally right.
jury, A group of people sworn to deliver a verdict.
kale, A leafy green vegetable.
keep, To hold or retain.
keen, Sharp or intellectually quick.
kept, Past tense of keep
kick, To strike with the leg.
kind, Having a gentle and friendly nature.
king, A male monarch or ruler.
kiss, To touch with the lips as a sign of affection.
kite, A flying toy tethered to a string.
knot, Entwined string.
know, To understand.
kohl, A dark powder used as eye makeup.
late, Not on time.
leap, To jump or spring forcefully.
lend, To grant the temporary use of something.
lift, To raise or elevate.
limb, An arm or leg of a person or animal.
lime, A greenish-yellow citrus fruit.
lion, A large carnivorous feline.
list, A series of items in a particular order.
main, Principal or most important.
make, To create or produce.
mask, A covering for the face or disguise.
meal, A time for eating or a specific serving of food.
melt, To change from a solid to a liquid state.
mile, A unit of distance.
mine, A place where minerals are extracted from the earth.
mist, Fine droplets of water in the air
near, At a short distance in space or time.
neat, Arranged in a tidy and orderly manner.
next, Coming immediately after.
nice, Pleasant or agreeable.
nine, The number of lives a cat has.
noon, Midday.
note, A brief written record or comment.
numb, Deprived of sensation.
obey, To comply with or follow orders.
odor, A smell.
omit, To leave out or exclude.
open, Not closed or barred.
oval, An elongated circle.
pace, The speed at which someone walks or a single step.
page, A sheet of paper in a book.
pale, Light in color or having little color.
park, A public area with grass and trees.
part, A piece of something.
past, The time that has gone by.
peel, To remove the outer covering of a fruit or vegetable.
pier, A structure extending into the water for docking ships.
pink, A pale reddish color.
plot, The sequence of events in a story or play.
quit, To stop or cease. To leave a job.
quiz, A test or examination.
quip, A clever or witty remark.
race, A competition of speed.
rain, Water falling from the sky.
ramp, A sloping surface for ascent or descent.
rate, A measure of speed or frequency.
read, To interpret written symbols.
real, Authentic or genuine.
rice, A grain used for sushi.
rich, Having abundant wealth or resources.
salt, A crystalline substance used for seasoning.
sand, Fine particles of rock.
sane, Mentally sound or rational.
save, To rescue or preserve.
seat, A place for sitting.
seek, To look for or search.
self, The individual as a distinct entity.
ship, A large watercraft.
tall, Having greater height than average.
tame, Domesticated.
task, Work to be done.
team, A group working together.
teal, A dark greenish-blue color.
tear, To rip or pull apart.
tell, To communicate or narrate.
tent, A portable shelter.
term, A fixed or limited period.
test, A trial or examination.
tide, The rise and fall of the sea.
tiny, Very small in size.
toil, Hard or exhausting work.
tomb, A burial place for the dead.
tool, A device used to perform a task.
town, A smaller urban area where people live.
trim, To make neat or orderly by cutting or clipping.
trip, A journey or excursion.
true, In accordance with fact or reality.
turn, To change direction or orientation.
twin, One of two offspring born at the same time.
type, A category or kind.
undo, To reverse or cancel an action.
unit, A single entity or part.
urge, A strong desire or impulse.
user, Someone who utilizes a product or service.
vast, Extremely large or extensive.
vein, A blood vessel.
vote, An expression of choice.
very, To a high degree or extent.
wage, Payment for work.
wall, A vertical barrier.
wand, A magical device.
warm, Having a moderate degree of heat.
warp, To become twisted or distorted.
wave, A disturbance moving through a medium.
weak, Lacking physical strength.
well, In good health. A source of water.
wild, In a natural state; not domesticated.
wind, Moving air.
wise, Possessing knowledge and experience.
word, A unit of language with meaning.
work, Activity involving mental or physical effort.
worm, A long creature with no legs.
wrap, To cover or enclose.
xray, A form of electromagnetic radiation.
xmas, Informal term for Christmas.
zest, Enthusiasm. The skin of citrus fruit.
zero, The numerical symbol for nothing.
zinc, A metallic element used in batteries.
zone, An area with distinct characteristics.
